id,content_type,content_id,reported_by,reason,priority,status,created_at,resolved_at
8615fee8-06ba-42f5-a841-0f65520ff634,podcast,a9e01414-2e02-40b7-9c17-c6658f2fe8b5,22a990f3-a58e-4b79-a832-f797a1f2489f,Inappropriate content,critical,under_investigation,2026-06-19 14:26:57,2026-06-21 19:50:57
9f89c1ac-d622-4442-b781-bdcad4d09277,podcast,bbdae275-4cbb-45a0-9f10-a1e6d3c1284f,061b5104-ae8b-4699-b5cf-5e040ea1b762,Spam,high,resolved,2026-06-19 14:27:18,2026-06-19 14:27:18
889c4119-18f5-4675-a900-2a13deb499fc,podcast,bbdae275-4cbb-45a0-9f10-a1e6d3c1284f,1fd32b5a-5090-4bc2-ab21-ed5b400a4c80,Hate speech,low,pending,2026-06-19 14:27:39,2026-06-26 01:19:39
bc432c62-d066-4c5e-99f2-029dc57d0085,podcast,f7183e20-579d-444a-b469-8d02b85bb9fc,8c1c7130-727a-4ee2-99f4-710a13ac717a,Hate speech,low,under_investigation,2026-06-19 14:28:56,2026-06-25 21:43:56
44f9a5b8-53e3-4402-a6d2-132b86c1741e,podcast,bbdae275-4cbb-45a0-9f10-a1e6d3c1284f,c53a6b3a-df85-4ade-9c4e-78a656ae0d51,Copyright violation,low,pending,2026-06-19 14:30:42,2026-06-24 07:11:42
5b1ff3d4-dd79-4cdb-b6d7-204d9e4b582f,podcast,5e7d5c6d-0c97-4fc0-b77a-e2709b676904,09cdf1f0-7630-488c-bfb3-caca63923097,Copyright violation,low,pending,2026-06-19 14:31:09,2026-06-20 19:17:09
f12ddc94-88a5-4839-92ea-394b257185ce,podcast,f1710320-f622-445b-9528-047aba344916,8061b56b-6e3e-4011-8e9e-620e4c777195,Spam,high,under_investigation,2026-06-19 14:31:26,2026-06-25 06:37:26
6880b81a-2969-4c2d-ae60-459a0981be05,podcast,25a3dc4b-457f-4903-a7ea-213c3c8ef542,a346bb1e-a7ff-4018-9c61-0eca86df0f61,Inappropriate content,high,resolved,2026-06-19 14:31:34,2026-06-19 14:31:34
b44b1ffb-093a-420a-8f00-206450a7cfc6,podcast,14a6b4b9-7ca4-4a2b-b187-c71d7056528e,12322423-8605-4a4d-a56e-320798952caf,Hate speech,medium,under_investigation,2026-06-19 14:32:55,2026-06-23 05:25:55
33e2d586-a372-4d94-8380-275b5e93bffb,podcast,a9e01414-2e02-40b7-9c17-c6658f2fe8b5,c7aaa5f5-beb5-4c7d-b2de-2b8217c691ce,Hate speech,high,pending,2026-06-19 14:34:46,2026-06-23 10:14:46
05b339d3-ef0d-4400-8ce8-d1597a486b47,podcast,5e7d5c6d-0c97-4fc0-b77a-e2709b676904,061b5104-ae8b-4699-b5cf-5e040ea1b762,Spam,low,under_investigation,2026-06-19 14:34:53,2026-06-23 17:28:53
6278c600-94e9-4319-90c4-eb60c3760e0c,podcast,a9e01414-2e02-40b7-9c17-c6658f2fe8b5,a9df166f-15a5-405e-8af7-472cba5d2aea,Hate speech,low,under_investigation,2026-06-19 14:36:04,2026-06-24 17:21:04
5afc9676-1527-4753-af8b-7ee1cfe762de,podcast,35261b2e-22e8-477d-8301-e8148aa7c0b8,8e8dc62e-dec8-4a50-99cf-d96a02710343,Hate speech,high,resolved,2026-06-19 14:39:04,2026-06-19 14:39:04
ec4aa575-d67d-4bdb-a77c-c168f728f606,podcast,2ebd73a2-9f2b-44f9-ae48-ded0aefe8433,55eda42c-ebef-41e1-a9a4-64e2a6eb6bc4,Hate speech,medium,under_investigation,2026-06-19 14:39:28,2026-06-20 19:37:28
2140eac7-f943-4e14-9ee5-a78d531c3fa0,podcast,a9e01414-2e02-40b7-9c17-c6658f2fe8b5,fe3011a0-c931-4512-aa21-3b4013c88951,Inappropriate content,low,under_investigation,2026-06-19 14:41:53,2026-06-25 05:43:53
320cf473-dc2a-4c3f-b91e-b5060ff14b1e,podcast,15148c83-df6f-4241-b1b7-f9377350c61b,9fd6178d-2e32-495f-b3aa-e2cb46aef3f6,Harassment,critical,under_investigation,2026-06-19 14:44:13,2026-06-23 03:33:13
