id,room_id,call_type,started_at,ended_at,call_status,duration_seconds
7742f5c7-e5d7-4b66-ade7-22e097303a53,1e8edb8b-587a-46fc-a56b-f71c3f111662,audio,2026-06-18 23:22:21,2026-06-18 23:50:21,connected,1680
c65aa019-54ab-49af-88cd-cf742658b3c8,72dc3479-6506-45c0-a7ca-62a8cacac53a,audio,2026-06-18 23:00:15,2026-06-18 23:22:50,ended,1355
55a2ff49-63ee-48e3-8fcf-bec1d442d1d7,72dc3479-6506-45c0-a7ca-62a8cacac53a,audio,2026-06-18 23:23:01,2026-06-19 00:40:01,connected,4620
921d1bfa-c568-47ce-b2a8-f9fe1df300f8,1e8edb8b-587a-46fc-a56b-f71c3f111662,audio,2026-06-18 23:23:13,2026-06-19 02:58:13,initiated,12900
75fbacb2-a091-47ce-baa7-aeb7441df8c5,1e8edb8b-587a-46fc-a56b-f71c3f111662,audio,2026-06-18 23:23:19,2026-06-18 23:35:19,connected,720
0039658c-f874-4953-b57f-bc063fdfef15,5eb3a1ff-6a51-499d-a747-f23d0f5fc3f1,audio,2026-06-18 23:24:38,2026-06-18 23:56:38,connected,1920
86083ee3-8a6d-4dd5-b71d-05a2f19b7513,1e8edb8b-587a-46fc-a56b-f71c3f111662,audio,2026-06-18 22:29:44,2026-06-18 23:24:56,ended,3312
601180ba-e1c2-49b8-b061-b628a11589f6,1e8edb8b-587a-46fc-a56b-f71c3f111662,audio,2026-06-18 23:06:11,2026-06-18 23:25:02,ended,1131
5031532e-498f-4ac5-9ead-8218aca3c700,f677959b-bacf-4231-afef-8caf440b562e,audio,2026-06-18 22:27:52,2026-06-18 23:26:08,ended,3496
841e686f-41cb-4be9-a199-116aaa456c79,1e8edb8b-587a-46fc-a56b-f71c3f111662,audio,2026-06-18 23:26:49,2026-06-18 23:44:49,connected,1080
67cb3a9b-ddd2-435b-b7ff-2615b6d8960a,72dc3479-6506-45c0-a7ca-62a8cacac53a,audio,2026-06-18 23:26:55,2026-06-19 00:38:55,initiated,4320
5f64881c-463f-4252-bf8a-ffd11ce77fab,3b022286-185e-413d-863f-f290ad03be61,audio,2026-06-19 10:55:11,2026-06-19 13:26:11,connected,9060
5f64881c-463f-4252-bf8a-ffd11ce77fab,3b022286-185e-413d-863f-f290ad03be61,audio,2026-06-19 10:55:11,2026-06-19 10:55:18,completed,7
a9f9eafa-ccfd-470c-a8b1-262dadb0fc96,5a6dd61b-1f58-4eeb-842e-41c40354a51d,audio,2026-06-19 11:00:08,2026-06-19 13:10:08,connected,7800
a9f9eafa-ccfd-470c-a8b1-262dadb0fc96,5a6dd61b-1f58-4eeb-842e-41c40354a51d,audio,2026-06-19 11:00:08,2026-06-19 11:00:45,completed,37
