id,room_code,room_name,room_type,status,created_at,created_by,ended_at,max_participants,music_track
1e8edb8b-587a-46fc-a56b-f71c3f111662,M7OK0X,Acoustic Cozy Space,public,active,2026-06-18 23:22:06,409f7cf6-60b9-4975-9db7-1b0989261ebf,2026-06-18 23:33:06,4,spotify:track:5uVwXyZaBcDeFgHiJkLmNo
72dc3479-6506-45c0-a7ca-62a8cacac53a,0XDHW1,Bollywood Duet,public,active,2026-06-18 23:22:50,4581045e-25d0-4945-bd1c-9ee4b46504dd,2026-06-19 02:54:50,4,spotify:track:7p5Szil7snwdtv8b8b8b8b
5eb3a1ff-6a51-499d-a747-f23d0f5fc3f1,99TR3X,K-Pop Fan Hangout,public,active,2026-06-18 23:23:13,5a7a2ec4-8cc0-42ed-b08b-6489cd016975,2026-06-19 02:13:13,2,spotify:track:3ybr7s4G8SdwDtV2c2c2c2
24b0a815-f474-4b23-b424-d8facfc82425,C7YN2U,Telugu Melodies Vibe,public,active,2026-06-18 23:24:10,2e487b3b-a3e5-48ba-aaae-c5a65e9b612e,2026-06-19 00:25:10,2,spotify:track:1a2b3c4d5e6f7g8h9i0j1k
6906316f-e6a3-40fa-98da-1c352c63b00d,LJ8Z2X,Rock Duo Jam,public,active,2026-06-18 23:24:22,e3f0b9f1-d5c3-48bf-99ef-c6da87251d8f,2026-06-19 02:55:22,4,spotify:track:3ybr7s4G8SdwDtV2c2c2c2
f677959b-bacf-4231-afef-8caf440b562e,8IC3ZF,Jazz Corner Session,private,active,2026-06-18 23:25:41,e9244443-444d-480d-9526-8d4d2d9ff348,2026-06-19 02:00:41,2,spotify:track:3ybr7s4G8SdwDtV2c2c2c2
6e7ef21f-0238-4c17-a9d0-3fc7d7ef224f,K6BAUT,Lo-Fi Focus Partners,public,active,2026-06-18 23:25:52,745e742d-a396-4b5e-b640-95205a85a2b5,2026-06-19 01:38:52,4,spotify:track:5uVwXyZaBcDeFgHiJkLmNo
c53208b5-920e-4a4e-b219-ff646b772d25,HEBE6E,Lo-Fi Focus Partners,private,active,2026-06-18 23:26:43,0208fb1b-e780-4329-9f1e-ac0ac297a660,2026-06-19 02:14:43,2,spotify:track:5uVwXyZaBcDeFgHiJkLmNo
afd003d6-1447-428f-8586-e4ec71a5b0d9,U92W1X,Coding duo,public,active,2026-06-18 23:26:55,a3f3a67c-22a2-418d-a2a5-560fc79e9d37,2026-06-19 02:04:55,2,spotify:track:5uVwXyZaBcDeFgHiJkLmNo
4a067b9e-4e27-40d8-b0c3-d0248b799924,C7COEC,Bollywood Duet,public,active,2026-06-18 23:27:07,b84fb1c4-ae2c-40fc-a889-c4b64120a594,2026-06-18 23:53:07,4,spotify:track:7p5Szil7snwdtv8b8b8b8b
