id,channel_id,show_name,description,scheduled_start,scheduled_end,actual_start,actual_end,status
a8bbd773-e447-465d-8941-f810de3c48e0,8da9c2a7-f1e8-4749-86fe-a92bcd514d00,Morning Beats with Jenkins,Catch the latest trends and tracks live on Morning Beats with Jenkins.,2026-06-19 14:53:48,2026-06-19 15:53:48,2026-06-19 14:53:48,2026-06-19 15:20:48,live
b5cf03bb-e20c-4efa-b2af-070e8283c790,b6d9135f-080d-474d-bb83-295846af0761,Morning Beats with Sen,Catch the latest trends and tracks live on Morning Beats with Sen.,2026-06-19 14:55:02,2026-06-19 15:55:02,2026-06-19 14:55:02,2026-06-19 14:55:02,completed
a054cc4c-a524-4bb6-a66f-244370a162c4,bc344722-9e85-4835-99b7-a7962d0e6400,Rock Block with Nair,Catch the latest trends and tracks live on Rock Block with Nair.,2026-06-19 14:56:30,2026-06-19 15:56:30,2026-06-19 15:01:30,2026-06-19 15:31:30,scheduled
e45f08ac-ddd3-47dc-8bb3-84ffd597008f,b6d9135f-080d-474d-bb83-295846af0761,Retro Rewind with Sen,Catch the latest trends and tracks live on Retro Rewind with Sen.,2026-06-19 14:57:42,2026-06-19 15:57:42,2026-06-19 15:09:42,2026-06-19 17:58:42,scheduled
a97ee514-dce1-4774-b54c-704ada9624e6,a322f0f9-8607-48f1-bcca-0bacc98dcb86,Morning Beats with Sharma,Catch the latest trends and tracks live on Morning Beats with Sharma.,2026-06-19 15:00:21,2026-06-19 16:00:21,2026-06-19 15:00:21,2026-06-19 15:20:21,live
25d1bc3d-3fad-4d80-8794-31f317994ffc,cfe14b5d-c7af-459d-9743-c57855cdfd0f,Chai & Talk with Nair,Catch the latest trends and tracks live on Chai & Talk with Nair.,2026-06-19 15:00:32,2026-06-19 16:00:32,2026-06-19 15:09:32,2026-06-19 18:38:32,cancelled
47b2bca3-614c-4d0a-b0db-33ead0d216ad,a322f0f9-8607-48f1-bcca-0bacc98dcb86,Morning Beats with Sharma,Catch the latest trends and tracks live on Morning Beats with Sharma.,2026-06-19 15:01:11,2026-06-19 16:01:11,2026-06-19 15:01:11,2026-06-19 17:16:11,live
814f4e7a-604c-4d0d-a418-87d9f723e613,9214ea69-5346-4039-b8d5-66dc941b9cc9,Retro Rewind with Reddy,Catch the latest trends and tracks live on Retro Rewind with Reddy.,2026-06-19 15:01:48,2026-06-19 16:01:48,2026-06-19 15:01:48,2026-06-19 15:01:48,completed
0ea266e7-e2e4-435c-9e6d-64e1cb207acd,c29bf6d4-e07d-413e-be13-6500f75239a0,Rock Block with Reddy,Catch the latest trends and tracks live on Rock Block with Reddy.,2026-06-19 15:03:01,2026-06-19 16:03:01,2026-06-19 15:03:01,2026-06-19 16:32:01,live
b002d609-4733-4043-8b75-4eec16eca7a0,0a51b4b9-a46e-4035-956a-9e08179a526f,Midnight Melodies with Chang,Catch the latest trends and tracks live on Midnight Melodies with Chang.,2026-06-19 15:03:29,2026-06-19 16:03:29,2026-06-19 15:03:29,2026-06-19 15:03:29,completed
9d699f82-1758-4c1f-a66c-a1155fe8db44,cfd04dcc-92a9-42af-afd8-41241cb33d2a,Rock Block with Jenkins,Catch the latest trends and tracks live on Rock Block with Jenkins.,2026-06-19 15:03:37,2026-06-19 16:03:37,2026-06-19 15:03:37,2026-06-19 15:28:37,live
996c2e32-df69-406e-a3d8-614ef0d0a7be,540068dc-1f5e-4ed2-8022-993cfe8283ed,Rock Block with Reddy,Catch the latest trends and tracks live on Rock Block with Reddy.,2026-06-19 15:04:43,2026-06-19 16:04:43,2026-06-19 15:09:43,2026-06-19 17:02:43,cancelled
279a6bca-994c-4042-b552-6cc1b0eab542,b5efcef6-37ad-46a9-9f00-d04628e7c040,Morning Beats with Rogers,Catch the latest trends and tracks live on Morning Beats with Rogers.,2026-06-19 15:05:18,2026-06-19 16:05:18,2026-06-19 15:05:18,2026-06-19 17:56:18,live
1bdb408e-2da6-4fc6-9355-ab8e8c1757c1,b6d9135f-080d-474d-bb83-295846af0761,Retro Rewind with Sen,Catch the latest trends and tracks live on Retro Rewind with Sen.,2026-06-19 15:05:31,2026-06-19 16:05:31,2026-06-19 15:05:31,2026-06-19 15:05:31,completed
afaa4ed5-7dc8-4afd-8a40-12d1b67c499e,50e43f20-3ba1-44a1-b10d-89f192cc9ec3,Retro Rewind with Sen,Catch the latest trends and tracks live on Retro Rewind with Sen.,2026-06-19 15:05:54,2026-06-19 16:05:54,2026-06-19 15:01:54,2026-06-19 18:03:54,cancelled
ed1ce387-16e1-4b90-9926-63031712755d,540068dc-1f5e-4ed2-8022-993cfe8283ed,Rock Block with Reddy,Catch the latest trends and tracks live on Rock Block with Reddy.,2026-06-19 15:06:11,2026-06-19 16:06:11,2026-06-19 15:06:11,2026-06-19 18:26:11,live
1f6f9ec2-a12d-4e14-9f3b-48f0a16f6e9d,c29bf6d4-e07d-413e-be13-6500f75239a0,Chai & Talk with Reddy,Catch the latest trends and tracks live on Chai & Talk with Reddy.,2026-06-19 15:06:22,2026-06-19 16:06:22,2026-06-19 15:06:22,2026-06-19 18:44:22,live
367adcc2-a540-4a3e-aa3d-cde7dc2c91e1,d5e4a7a3-bf44-4487-abdc-0110774c879f,Chai & Talk with Sen,Catch the latest trends and tracks live on Chai & Talk with Sen.,2026-06-19 15:09:41,2026-06-19 16:09:41,2026-06-19 15:09:41,2026-06-19 17:51:41,live
fae37f2a-b3c9-48c4-b93a-0489ac54ff3f,15d7e124-eb7e-4318-b0e5-f4d52d7fd766,Midnight Melodies with Rogers,Catch the latest trends and tracks live on Midnight Melodies with Rogers.,2026-06-19 15:10:56,2026-06-19 16:10:56,2026-06-19 15:10:56,2026-06-19 15:10:56,completed
2749663c-4ec2-490f-a1fe-d1ff207f0e18,15d7e124-eb7e-4318-b0e5-f4d52d7fd766,Retro Rewind with Rogers,Catch the latest trends and tracks live on Retro Rewind with Rogers.,2026-06-19 15:11:38,2026-06-19 16:11:38,2026-06-19 15:11:38,2026-06-19 18:02:38,live
3f68d785-b4f3-4ea3-9527-fbc01c577ba9,15d7e124-eb7e-4318-b0e5-f4d52d7fd766,Chai & Talk with Rogers,Catch the latest trends and tracks live on Chai & Talk with Rogers.,2026-06-19 15:12:59,2026-06-19 16:12:59,2026-06-19 15:16:59,2026-06-19 18:06:59,scheduled
b9e6f174-41e0-4f62-bc5a-442390cd1cd1,9214ea69-5346-4039-b8d5-66dc941b9cc9,Retro Rewind with Reddy,Catch the latest trends and tracks live on Retro Rewind with Reddy.,2026-06-19 15:13:08,2026-06-19 16:13:08,2026-06-19 15:11:08,2026-06-19 17:31:08,scheduled
e9aa9352-222f-449b-a976-90374d859a3e,bc344722-9e85-4835-99b7-a7962d0e6400,Rock Block with Nair,Catch the latest trends and tracks live on Rock Block with Nair.,2026-06-19 15:16:08,2026-06-19 16:16:08,2026-06-19 15:27:08,2026-06-19 17:09:08,scheduled
